college,collegeLabel,city,coordinate_location,country,countryLabel
http://www.wikidata.org/entity/Q597986,Buffalo Niagara International Airport,,Point(-78.732222222 42.940555555),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q598002,Quatro de Fevereiro Airport,,Point(13.231194444 -8.858083333),http://www.wikidata.org/entity/Q916,Angola
http://www.wikidata.org/entity/Q598011,Blimbingsari Airport,,Point(114.34017778 -8.3106),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q598033,Laoag International Airport,,Point(120.531666666 18.178055555),http://www.wikidata.org/entity/Q928,Philippines
http://www.wikidata.org/entity/Q598121,Billund Airport,,Point(9.151944444 55.740277777),http://www.wikidata.org/entity/Q35,Denmark
http://www.wikidata.org/entity/Q598164,Bob Baker Memorial Airport,,Point(-160.437 66.9758),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q598197,Bilbao Airport,,Point(-2.910556 43.301111),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q598215,Biskra Airport,,Point(5.738305555 34.793361111),http://www.wikidata.org/entity/Q262,Algeria
http://www.wikidata.org/entity/Q598231,Birsa Munda Airport,,Point(85.321666666 23.314166666),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q598233,Tresco Heliport,,Point(-6.331388888 49.945555555),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q598259,Blue Grass Airport,,Point(-84.605833333 38.036388888),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q598269,Billings Logan International Airport,,Point(-108.542777777 45.807777777),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q598282,Bloemfontein Airport,,Point(26.303888888 -29.093888888),http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q598311,Bikini Atoll Airport,,Point(165.565 11.5225),http://www.wikidata.org/entity/Q709,Marshall Islands
http://www.wikidata.org/entity/Q598324,Blackall Airport,,Point(145.428611111 -24.427777777),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q598547,Big Trout Lake Airport,,Point(-89.8969 53.8178),http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q598617,Black Tickle Airport,,Point(-55.7875 53.47),http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q598642,Kosrae International Airport,,Point(162.958333333 5.356944444),http://www.wikidata.org/entity/Q702,Federated States of Micronesia
http://www.wikidata.org/entity/Q598652,Biratnagar Airport,,Point(87.263888888 26.481388888),http://www.wikidata.org/entity/Q837,Nepal
http://www.wikidata.org/entity/Q598661,Bobo Dioulasso Airport,,Point(-4.330833 11.16),http://www.wikidata.org/entity/Q965,Burkina Faso
