college,collegeLabel,city,coordinate_location,country,countryLabel,field1,Sno,countryLabel,coordinate_location,country1,country_id
http://www.wikidata.org/entity/Q106140935,Außenbezirk und Bauhof Geesthacht,,Point(10.353992 53.430981),http://www.wikidata.org/entity/Q183,Germany,57,58,Germany,Point(10.0 51.0),Deutschland,de
http://www.wikidata.org/entity/Q106484479,Marsá ar Raḩá,,Point(13.185833333 32.902222222),http://www.wikidata.org/entity/Q1016,Libya,91,92,Libya,Point(17.0 27.0),ليبيا,ly
http://www.wikidata.org/entity/Q1064859,Port of Brisbane,,Point(153.1678 -27.3832),http://www.wikidata.org/entity/Q408,Australia,9,10,Australia,Point(137.0 -28.0),Australia,au
http://www.wikidata.org/entity/Q106489115,Waren,,Point(-1.747983 55.615407),http://www.wikidata.org/entity/Q145,United Kingdom,173,174,United Kingdom,Point(-2.0 54.6),United Kingdom,gb
http://www.wikidata.org/entity/Q106599824,Port of Rosedale,,Point(-91.0196 33.82103),http://www.wikidata.org/entity/Q30,United States of America,174,175,United States of America,Point(-98.5795 39.828175),United States,us
http://www.wikidata.org/entity/Q10661561,Sannegårdshamnen,,Point(11.92638889 57.70611111),http://www.wikidata.org/entity/Q34,Sweden,155,156,Sweden,Point(15.0 61.0),Sverige,se
http://www.wikidata.org/entity/Q106673930,Rudkøbing Harbour,,Point(10.708 54.9396),http://www.wikidata.org/entity/Q35,Denmark,41,42,Denmark,Point(10.0 56.0),Danmark,dk
http://www.wikidata.org/entity/Q106681337,Høruphav Harbour,,Point(9.8887 54.9067),http://www.wikidata.org/entity/Q35,Denmark,41,42,Denmark,Point(10.0 56.0),Danmark,dk
http://www.wikidata.org/entity/Q106683641,Hanstholm Harbour,,Point(8.5944 57.1208),http://www.wikidata.org/entity/Q35,Denmark,41,42,Denmark,Point(10.0 56.0),Danmark,dk
http://www.wikidata.org/entity/Q106691851,Varel habour,,Point(8.172643 53.407829),http://www.wikidata.org/entity/Q183,Germany,57,58,Germany,Point(10.0 51.0),Deutschland,de
http://www.wikidata.org/entity/Q1068325,Port of Qingdao,,Point(120.317 36.0833),http://www.wikidata.org/entity/Q148,People's Republic of China,125,126,People's Republic of China,Point(103.451944444 35.844722222),中国,cn
http://www.wikidata.org/entity/Q10688802,Port of Södertälje,,Point(17.6555 59.1793),http://www.wikidata.org/entity/Q34,Sweden,155,156,Sweden,Point(15.0 61.0),Sverige,se
http://www.wikidata.org/entity/Q106959367,Terminal Don Diego,,Point(-69.88188 18.47535),http://www.wikidata.org/entity/Q786,Dominican Republic,44,45,Dominican Republic,Point(-70.2 18.8),República Dominicana,do
http://www.wikidata.org/entity/Q107036881,Port of Toronto,,Point(-79.349 43.637),http://www.wikidata.org/entity/Q16,Canada,26,27,Canada,Point(-109.0 56.0),Canada,ca
http://www.wikidata.org/entity/Q107174462,Ingå guest harbor,,Point(24.0074 60.0415),http://www.wikidata.org/entity/Q33,Finland,53,54,Finland,Point(27.0 65.0),Suomi / Finland,fi
http://www.wikidata.org/entity/Q1076388,Saigon Port,,Point(106.75361 10.8225),http://www.wikidata.org/entity/Q881,Vietnam,179,180,Vietnam,Point(108.0 16.0),Việt Nam,vn
http://www.wikidata.org/entity/Q10812145,Sa Ky Port,,Point(108.914472222 15.215111111),http://www.wikidata.org/entity/Q881,Vietnam,179,180,Vietnam,Point(108.0 16.0),Việt Nam,vn
http://www.wikidata.org/entity/Q10868415,Port of Shimonoseki,,Point(130.94133333 33.95788889),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q10896698,Port of Hakodate,,Point(140.710556 41.807222),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q1090823,Port of Rostock,,Point(12.1153 54.1479),http://www.wikidata.org/entity/Q183,Germany,57,58,Germany,Point(10.0 51.0),Deutschland,de
http://www.wikidata.org/entity/Q10959354,Port of Otaru,,Point(141.013055555 43.2025),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q10986919,Ennore Port,,Point(80.32683 13.25164),http://www.wikidata.org/entity/Q668,India,69,70,India,Point(83.0 22.8),India,in
http://www.wikidata.org/entity/Q10989720,Hengqin Port,,Point(113.548107 22.138922),http://www.wikidata.org/entity/Q148,People's Republic of China,125,126,People's Republic of China,Point(103.451944444 35.844722222),中国,cn
http://www.wikidata.org/entity/Q11000695,Port of Khur Al Zubair,,Point(47.885 30.19694444),http://www.wikidata.org/entity/Q796,Iraq,72,73,Iraq,Point(43.0 33.0),العراق / عێراق,iq
http://www.wikidata.org/entity/Q1102184,Bassin de l'Arsenal,,Point(2.36736667 48.849475),http://www.wikidata.org/entity/Q142,France,54,55,France,Point(2.0 47.0),France,fr
http://www.wikidata.org/entity/Q1104686,"Cobija, Chile",,Point(-70.2667 -22.55),http://www.wikidata.org/entity/Q298,Chile,30,31,Chile,Point(-71.0 -33.0),Chile,cl
http://www.wikidata.org/entity/Q11064584,Port of Hiroshima,,Point(132.455119 34.352167),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q1111050,Prigorodnoye,,Point(142.9028 46.6275),http://www.wikidata.org/entity/Q159,Russia,201,,Russia,Point(94.25 66.416666666),Россия,ru
http://www.wikidata.org/entity/Q11124701,Port of Wuhan,,Point(114.346 30.6439),http://www.wikidata.org/entity/Q148,People's Republic of China,125,126,People's Republic of China,Point(103.451944444 35.844722222),中国,cn
http://www.wikidata.org/entity/Q11133776,Tallinn’s Old City Harbour,,Point(24.766666666 59.45),http://www.wikidata.org/entity/Q191,Estonia,188,,Estonia,Point(26.0 59.0),Eesti,ee
http://www.wikidata.org/entity/Q11138177,Shenjiamen,,Point(122.29802 29.95763),http://www.wikidata.org/entity/Q148,People's Republic of China,125,126,People's Republic of China,Point(103.451944444 35.844722222),中国,cn
http://www.wikidata.org/entity/Q1114612,Port Vell,,Point(2.18463889 41.37675),http://www.wikidata.org/entity/Q29,Spain,204,,Spain,Point(-3.5 40.2),España,es
http://www.wikidata.org/entity/Q1116518,Port of Shenzhen,,Point(113.88333333 22.5),http://www.wikidata.org/entity/Q148,People's Republic of China,125,126,People's Republic of China,Point(103.451944444 35.844722222),中国,cn
http://www.wikidata.org/entity/Q11206033,Portopí,,Point(2.619166666 39.554166666),http://www.wikidata.org/entity/Q29,Spain,204,,Spain,Point(-3.5 40.2),España,es
http://www.wikidata.org/entity/Q11257142,Port of Akiya,,Point(139.599167 35.235278),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11262948,Port of Yokkaichi,,Point(136.636389 34.950833),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11263354,Salacgrīva Port,,Point(24.349444444 57.755277777),http://www.wikidata.org/entity/Q211,Latvia,87,88,Latvia,Point(25.0 57.0),Latvija,lv
http://www.wikidata.org/entity/Q11284640,Port of Hakata,,Point(130.397414 33.605133),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11356133,Port of Miike,,Point(130.421484 33.014134),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11356226,Port of Mikawa,,Point(137.3 34.716666666),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11356697,Port of Mitajiri-Nakanoseki,,Point(131.5587319 34.0032505),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11357227,Misumi West Port,,Point(130.4556 32.6222),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
