college,collegeLabel,city,coordinate_location,country,countryLabel,
http://www.wikidata.org/entity/Q21931992,Victoria Reservoir,,Point(116.0693 -32.04433),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953434,Yarrawonga Reservoir,,Point(146.083333333 -36.006111111),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953590,Argent Reservoir,,Point(145.41 -41.8),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953591,Appleby Creek Reservoir,,Point(146.51 -41.18),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953602,Vaucluse Reservoir,,Point(147.45 -41.79),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953653,Rosedale Reservoir,,Point(147.94 -42.44),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953654,Romaine Reservoir,,Point(145.9 -41.07),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953656,Risdon Brook Reservoir,,Point(147.33 -42.8),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953658,Rileys Creek Reservoir,,Point(146.92 -43.18),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953675,Pawleena Reservoir,,Point(147.59 -42.71),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953721,Lower Glenorchy Reservoir,,Point(147.25 -42.85),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953733,Limekiln Gully Reservoir,,Point(147.25 -42.86),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953736,Lauriston Reservoir,,Point(146.89 -41.13),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953898,Knights Creek Reservoir,,Point(147.23 -42.85),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953906,Illa Brook Reservoir,,Point(147.05 -42.83),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953908,Howell Reservoir,,Point(146.9 -41.13),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953920,Gordons Reservoir,,Point(147.60001 -42.8),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953947,Curries River Reservoir,,Point(146.94 -41.1),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953955,Colebrook Reservoir,,Point(147.31 -42.54),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953959,Chimney Saddle Reservoir,,Point(147.3 -41.5),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953969,Bradys Creek Reservoir,,Point(147.89 -42.49),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21953977,Beaconsfield Reservoir,,Point(146.78 -41.19),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21954531,Tingalpa Reservoir,,Point(153.17168 -27.53507),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21957564,Lake Parramatta,,Point(151.0075 -33.79),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21957567,Jugiong Reservoir,,Point(148.367777777 -34.598611111),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960570,Flagstaff Gully Reservoir,,Point(147.36999 -42.84),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960611,Chichester Storage Reservoir,,Point(151.684722222 -32.231666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960797,Geehi Reservoir,,Point(148.31524 -36.29987),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960800,Tooma Reservoir,,Point(148.26993 -36.05743),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960802,Lake Dartmouth,,Point(147.593055555 -36.580277777),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960845,McCallsay Reservoir,,Point(146.213333333 -36.790833333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960876,Wurdiboluc Reservoir,,Point(144.040833333 -38.286388888),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960878,Bostock Reservoir,,Point(144.17708 -37.60292),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960879,Merrimu Reservoir,,Point(144.491111111 -37.622222222),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960880,Lal Lal Reservoir,,Point(144.06181 -37.65875),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960881,Moorabool Reservoir,,Point(144.08569 -37.51069),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21960882,Upper Coliban Reservoir,,Point(144.38958 -37.29153),http://www.wikidata.org/entity/Q408,Australia,au
